Date,Hour,Rentals_Count,Temperature_C,Humidity_pct,Wind_Speed_ms,Visibility_m,Solar_Radiation_MJm2,Rainfall_mm,Snowfall_cm,Season,Holiday,Functioning_Day,Library_Branch,Top_Category,Membership_Type,Day_of_Week
01/01/2023,9,51,21.7,40.6,5.0,1473,2.51,0.0,0,Winter,Yes,Yes,University Branch,History,Walk-in,Sunday
01/01/2023,10,44,25.3,70.2,7.0,1493,2.47,1.1,0,Winter,Yes,Yes,AL HAMRA BRANCH,Non-Fiction,Student,Sunday
01/01/2023,14,62,28.7,45.9,6.3,867,2.88,0.0,0,Winter,Yes,Yes,University Branch,Technology,Regular,Sunday
01/01/2023,16,91,26.9,,5.2,1750,1.48,0.0,0,Winter,Yes,Yes,University Branch,Business,Premium,Sunday
01/01/2023,18,34,26.4,68.5,5.3,1531,0.53,0.0,0,Winter,Yes,Yes,Corniche Kiosk,Fiction,Premium,Sunday
01/01/2023,19,57,-25.4,78.0,6.2,1628,0.00,0.0,0,,Yes,Yes,university branch,  Children  ,Walk-in,Sunday
01/01/2023,20,41,23.2,69.1,4.8,1092,0.00,0.0,0,Winter,Yes,Yes,University Branch,History,Regular,Sunday
02/01/2023,8,43,21.3,60.5,7.3,998,0.01,0.0,0,Winter,No,Yes,UNIVERSITY BRANCH,Technology,Walk-in,Monday
02/01/2023,9,31,21.6,65.5,1.0,1834,1.41,0.0,0,Winter,No,Yes,Corniche Kiosk,History,Regular,Monday
02/01/2023,10,33,22.7,53.6,7.1,1855,1.29,0.0,0,Winter,No,Yes,Corniche Kiosk,Technology,Regular,Monday
02/01/2023,11,44,24.8,43.1,6.7,853,1.17,0.0,0,Winter,No,Yes,Al Hamra Branch,Science,Walk-in,Monday
02/01/2023,16,52,25.4,71.1,3.5,1545,0.54,0.0,0,Winter,No,Yes,  Al Rawdah Branch ,Science,Walk-in,Monday
02/01/2023,18,51,24.4,43.2,1.9,1194,3.03,0.0,0,Winter,No,Yes,Al Hamra Branch,Children,Walk-in,Monday
03/01/2023,9,52,-20.9,71.9,2.8,1171,1.43,0.0,0,Winter,No,Yes,Al Hamra Branch,Science,Student,Tuesday
03/01/2023,10,74,24.7,64.6,1.1,1419,2.22,0.0,0,Winter,No,Yes,Al Rawdah Branch,Technology,Student,Tuesday
03/01/2023,11,65,22.6,70.1,4.0,1469,3.21,0.0,0,Winter,No,Yes,Al Rawdah Branch,Business,Premium,Tuesday
03/01/2023,12,65,25.8,40.6,2.5,1184,1.89,0.0,0,winter,No,Yes,Al Rawdah Branch,Arabic Literature,Student,Tuesday
03/01/2023,13,75,26.2,66.6,5.0,1065,0.77,0.0,0,Winter,No,Yes,Downtown Central,Arabic Literature,Premium,Tuesday
03/01/2023,14,70,26.4,55.6,2.6,1941,1.48,0.0,0,Winter,No,Yes,University Branch,Fiction,Regular,Tuesday
03/01/2023,17,99,24.2,47.2,7.7,930,0.09,0.0,0,Winter,No,Yes,University Branch,Arabic Literature,Student,Tuesday
03/01/2023,18,29,24.5,48.3,5.3,1794,2.48,0.0,0,Winter,No,Yes,Corniche Kiosk,Technology,Walk-in,Tuesday
03/01/2023,19,95,23.8,71.4,4.4,1029,0.00,0.0,0,Winter,No,Yes,University Branch,Business,Student,Tuesday
03/01/2023,21,39,20.7,41.1,1.4,1443,0.00,0.0,0,Winter,No,Yes,  Al Rawdah Branch ,history,Student,Tuesday
03/01/2023,22,27,20.3,38.3,4.1,1209,0.00,0.0,0,Winter,No,Yes,  Al Hamra Branch ,Business,Regular,Tuesday
04/01/2023,8,46,22.0,42.2,1.1,803,1.58,0.0,0,Winter,No,Yes,Al Hamra Branch,Fiction,Student,Wednesday
04/01/2023,9,31,22.5,71.6,4.0,1165,1.41,0.0,0,Winter,No,Yes,Corniche Kiosk,Business,Walk-in,Wednesday
04/01/2023,11,58,24.0,68.9,4.9,1562,1.72,0.0,0,Winter,No,,  Al Hamra Branch ,Arabic Literature,Premium,Wednesday
04/01/2023,12,68,26.1,67.7,6.2,1044,1.92,0.0,0,Winter,No,Yes,  University Branch ,Business,Regular,Wednesday
04/01/2023,17,69,23.3,56.6,,974,0.67,0.0,0,Winter,No,Yes,Al Rawdah Branch,Non-Fiction,Premium,Wednesday
04/01/2023,19,65,25.0,47.2,6.9,1293,0.00,0.0,0,Winter,No,Yes,University Branch,Arabic Literature,Walk-in,Wednesday
04/01/2023,21,25,20.3,65.0,5.2,1277,0.00,0.0,0,Winter,No,Yes,Al Hamra Branch,Arabic Literature,premium,Wednesday
04/01/2023,22,32,20.2,51.9,2.3,1294,0.00,0.0,0,Winter,No,Yes,al rawdah branch,Science,Student,Wednesday
05/01/2023,9,76,22.3,50.5,5.7,826,2.91,0.0,0,Winter,No,Yes,Downtown Central,Fiction,,Thursday
05/01/2023,11,60,23.6,70.1,3.6,1041,2.75,0.0,0,Winter,No,Yes,Al Hamra Branch,Technology,Student,Thursday
05/01/2023,12,56,28.6,40.9,3.9,1607,2.35,0.0,0,Winter,No,Yes,al hamra branch,non-fiction,Student,Thursday
05/01/2023,14,63,27.3,75.2,4.6,1505,2.54,0.0,0,Winter,No,Yes,Downtown Central,Business,Walk-in,Thursday
